Flight,Total Casualties,Total accidents,Average casualties per accident
Airbus A380,0,95,0
Airbus A321N,0,115,0
Airbus A320N,5,204,0.02450980392
Embraer jet,82,350,0.2342857143
Boeing 737 MAX,346,127,2.724409449
Airbus A321,379,428,0.8855140187
Boeing 777,542,553,0.9801084991
Boeing 737 NG,930,1944,0.4783950617
DM80,1031,380,2.713157895
Airbus A320,1138,1282,0.887675507
Boeing 737,2346,787,2.98094028
DC8,2485,203,12.24137931
DC9,2755,691,3.986975398
Boeing 767,3354,539,6.222634508
Boeing 747,3891,729,5.33744856